model,website,newsPageUrl,success,discoveryMethod
"anthropic/claude-3-haiku-20240307","https://www.homedepot.com","https://corporate.homedepot.com/page/newsroom",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.jpmorganchase.com","https://www.jpmorganchase.com/newsroom",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.boeing.com","https://services.boeing.com/news",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.goldmansachs.com","https://www.goldmansachs.com/pressroom",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.ibm.com","https://newsroom.ibm.com/announcements",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.jnj.com","",false,""
"anthropic/claude-3-haiku-20240307","https://www.microsoft.com","https://news.microsoft.com/source/view-all/",true,"search"
"anthropic/claude-3-haiku-20240307","https://corporate.walmart.com","https://corporate.walmart.com/content/corporate/en_us/news.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.merck.com","https://www.merck.com/media/news/",true,"search"
"anthropic/claude-3-haiku-20240307","https://corporate.mcdonalds.com","https://corporate.mcdonalds.com/corpmcd/our-stories/press-releases.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.nvidia.com","https://nvidianews.nvidia.com/",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.travelers.com","https://investor.travelers.com/newsroom/newsroom-overview/default.aspx",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.pginvestor.com","https://www.pginvestor.com/news/default.aspx",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.sherwin-williams.com","https://corporate.sherwin-williams.com/us/en/media-center.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.verizon.com","https://www.verizon.com/about/news/press-releases",true,"search"
"anthropic/claude-3-haiku-20240307","https://www.unitedhealthgroup.com","https://www.unitedhealthgroup.com/newsroom/news.html",true,"search"
"anthropic/claude-3-haiku-20240307","https://usa.visa.com","https://usa.visa.com/about-visa/newsroom.html",true,"search"
"openai/gpt-4o-mini","https://www.apple.com","https://www.apple.com/newsroom/topics/company-news/",true,"search"
"openai/gpt-4o-mini","https://www.amgen.com","https://www.amgen.com/newsroom/press-releases",true,"search"
"openai/gpt-4o-mini","https://www.amazon.com","https://aws.amazon.com/blogs/aws/category/news/",true,"search"
"openai/gpt-4o-mini","https://www.thewaltdisneycompany.com","https://thewaltdisneycompany.com/news/",true,"homepage"
"openai/gpt-4o-mini","https://www.honeywell.com","https://www.honeywell.com/us/en/press",true,"search"
"openai/gpt-4o-mini","https://www.cisco.com","https://newsroom.cisco.com/c/r/newsroom/en/us/press-room/press-releases.html",true,"search"
"openai/gpt-4o-mini","https://www.salesforce.com","https://www.salesforce.com/news/",true,"search"
"openai/gpt-4o-mini","https://www.3m.com","https://news.3m.com/press-releases",true,"search"
"openai/gpt-4o-mini","https://www.americanexpress.com","https://ir.americanexpress.com/news/investor-relations-news/default.aspx",true,"search"
"openai/gpt-4o-mini","https://www.chevron.com","https://www.chevron.com/investors",true,"search"
"openai/gpt-4o-mini","https://www.caterpillar.com","https://www.caterpillar.com/en/news/corporate-press-releases.html",true,"search"
"openai/gpt-4o-mini","https://www.coca-colacompany.com","https://investors.coca-colacompany.com/news-events",true,"search"
"openai/gpt-4o-mini","https://investors.nike.com","https://investors.nike.com/investors/news-events-and-reports/default.aspx?toggle=news",true,"search"
"openai/gpt-4o-mini","https://www.homedepot.com","https://corporate.homedepot.com/page/newsroom",true,"search"
"openai/gpt-4o-mini","https://www.jpmorganchase.com","https://www.jpmorganchase.com/newsroom",true,"search"
"openai/gpt-4o-mini","https://www.boeing.com","https://services.boeing.com/news",true,"search"
"openai/gpt-4o-mini","https://www.goldmansachs.com","https://www.goldmansachs.com/pressroom",true,"search"
"openai/gpt-4o-mini","https://www.ibm.com","https://newsroom.ibm.com/announcements",true,"search"
"openai/gpt-4o-mini","https://www.jnj.com","https://www.jnj.com/latest-news",true,"search"
"openai/gpt-4o-mini","https://www.microsoft.com","https://news.microsoft.com/source/view-all/",true,"search"
"openai/gpt-4o-mini","https://corporate.walmart.com","https://corporate.walmart.com/content/corporate/en_us/news.html",true,"search"
"openai/gpt-4o-mini","https://www.merck.com","https://www.merck.com/media/news/",true,"search"
"openai/gpt-4o-mini","https://corporate.mcdonalds.com","https://corporate.mcdonalds.com/corpmcd/our-stories/press-releases.html",true,"search"
"openai/gpt-4o-mini","https://www.nvidia.com","https://nvidianews.nvidia.com/news/latest",true,"search"
"openai/gpt-4o-mini","https://www.travelers.com","https://investor.travelers.com/newsroom/newsroom-overview/default.aspx",true,"search"
"openai/gpt-4o-mini","https://www.pginvestor.com","https://www.pginvestor.com/news/default.aspx",true,"search"
"openai/gpt-4o-mini","https://www.sherwin-williams.com","https://corporate.sherwin-williams.com/us/en/media-center/press-releases.html",true,"search"
"openai/gpt-4o-mini","https://www.verizon.com","https://www.verizon.com/about/news",true,"search"
"openai/gpt-4o-mini","https://www.unitedhealthgroup.com","https://www.unitedhealthgroup.com/newsroom/press-releases.html",true,"search"
"openai/gpt-4o-mini","https://usa.visa.com","https://usa.visa.com/about-visa/newsroom/press-releases-listing.html",true,"search"
"google/gemini-2.5-flash","https://www.apple.com","https://www.apple.com/newsroom/topics/company-news/",true,"search"
"google/gemini-2.5-flash","https://www.amgen.com","https://www.amgen.com/newsroom/press-releases",true,"search"
"google/gemini-2.5-flash","https://www.amazon.com","https://aws.amazon.com/blogs/aws/category/post-types/announcements/",true,"search"
"google/gemini-2.5-flash","https://www.thewaltdisneycompany.com","https://thewaltdisneycompany.com/news/",true,"search"
"google/gemini-2.5-flash","https://www.honeywell.com","https://www.honeywell.com/us/en/press",true,"search"
"google/gemini-2.5-flash","https://www.cisco.com","https://newsroom.cisco.com/c/r/newsroom/en/us/index.html",true,"search"
"google/gemini-2.5-flash","https://www.salesforce.com","https://www.salesforce.com/news/",true,"search"
"google/gemini-2.5-flash","https://www.3m.com","https://news.3m.com/press-releases",true,"search"
"google/gemini-2.5-flash","https://www.americanexpress.com","https://www.americanexpress.com/en-us/company/",true,"search"
"google/gemini-2.5-flash","https://www.chevron.com","https://www.chevron.com/newsroom",true,"search"
"google/gemini-2.5-flash","https://www.caterpillar.com","https://www.caterpillar.com/en/news.html",true,"search"
"google/gemini-2.5-flash","https://www.coca-colacompany.com","https://investors.coca-colacompany.com/news-events/press-releases",true,"search"
"google/gemini-2.5-flash","https://investors.nike.com","https://investors.nike.com/investors/news-events-and-reports",true,"search"
"google/gemini-2.5-flash","https://www.homedepot.com","https://corporate.homedepot.com/page/newsroom",true,"search"
"google/gemini-2.5-flash","https://www.jpmorganchase.com","https://www.jpmorganchase.com/newsroom",true,"search"
"google/gemini-2.5-flash","https://www.boeing.com","https://services.boeing.com/news",true,"search"
"google/gemini-2.5-flash","https://www.goldmansachs.com","https://www.goldmansachs.com/pressroom",true,"search"
"google/gemini-2.5-flash","https://www.ibm.com","https://newsroom.ibm.com/announcements",true,"search"
"google/gemini-2.5-flash","https://www.jnj.com","https://www.jnj.com/latest-news",true,"search"
"google/gemini-2.5-flash","https://www.microsoft.com","https://news.microsoft.com/source/view-all/",true,"search"
"google/gemini-2.5-flash","https://corporate.walmart.com","https://corporate.walmart.com/content/corporate/en_us/news.html",true,"search"
"google/gemini-2.5-flash","https://www.merck.com","https://www.merck.com/media/news/",true,"search"
"google/gemini-2.5-flash","https://corporate.mcdonalds.com","https://corporate.mcdonalds.com/corpmcd/our-stories/press-releases.html",true,"search"
"google/gemini-2.5-flash","https://www.nvidia.com","https://nvidianews.nvidia.com/",true,"search"
"google/gemini-2.5-flash","https://www.travelers.com","https://investor.travelers.com/newsroom/newsroom-overview/default.aspx",true,"search"
"google/gemini-2.5-flash","https://www.pginvestor.com","https://www.pginvestor.com/news/default.aspx",true,"search"
"google/gemini-2.5-flash","https://www.sherwin-williams.com","https://corporate.sherwin-williams.com/us/en/media-center/press-releases.html",true,"search"
"google/gemini-2.5-flash","https://www.verizon.com","https://www.verizon.com/about/news/press-releases",true,"search"
"google/gemini-2.5-flash","https://www.unitedhealthgroup.com","https://www.unitedhealthgroup.com/newsroom/news.html",true,"search"
"google/gemini-2.5-flash","https://usa.visa.com","https://usa.visa.com/about-visa/newsroom.html",true,"search"
